Feature,Contribution,Contribution_Percentage
Conditions_Éclairage_0,2215.9824542833253,9.354703453632563
Conditions_Éclairage_1,0.08972877434039352,0.0003787873291098612
Conditions_Éclairage_2,0.015857191004224058,6.694065612541173e-05
Conditions_Éclairage_3,0.33178064765383775,0.0014006020510029626
Conditions_Éclairage_4,0.12194872326556674,0.0005148028769331682
Conditions_Éclairage_5,0.008711885518056921,3.6776963367147104e-05
Conditions_Atmosphériques_0,1.371037376462903,0.0057877931550702685
Conditions_Atmosphériques_1,0.07005889245227814,0.00029575151279478707
Conditions_Atmosphériques_2,11.366629497272164,0.04798388543589913
Conditions_Atmosphériques_3,10681.714397332307,45.09253688822996
Conditions_Atmosphériques_4,0.0142143264054904,6.0005352506053975e-05
Conditions_Atmosphériques_5,1.2341758888728298,0.005210036490908318
Conditions_Atmosphériques_6,0.7378608798477646,0.0031148575692331393
Conditions_Atmosphériques_7,0.22603514010668466,0.0009542005631457829
Conditions_Atmosphériques_8,0.3774529012601452,0.0015934060994827978
Conditions_Atmosphériques_9,1.3014850734962897,0.005494180194592069
Type_Collision_0,2.2307439358114807,0.009417018605074873
Type_Collision_1,0.06467438698771404,0.00027302098450558563
Type_Collision_2,0.08756850747853424,0.00036966782735823814
Type_Collision_3,0.032449247635021376,0.0001369835254482127
Type_Collision_4,0.5236921675003031,0.0022107507748926635
Type_Collision_5,0.14378162092901126,0.0006069697994556141
Type_Collision_6,0.07363431886083259,0.0003108450681194977
Type_Collision_7,0.20227659646937923,0.000853904583912021
Etat_Surface_0,0.09703987264391122,0.00040965091127296254
Etat_Surface_1,0.34454485376150706,0.0014544857641738366
Etat_Surface_2,0.2853483804772087,0.001204589628035616
Etat_Surface_3,11.366629497272164,0.04798388543589913
Etat_Surface_4,4.672426635592379,0.019724508874307337
Etat_Surface_5,2.710943736660748,0.011444167658875081
Etat_Surface_6,0.563515314779856,0.0023788629964810936
Etat_Surface_7,10681.714397332307,45.09253688822996
Etat_Surface_8,0.011378626379446694,4.803452991410516e-05
Etat_Surface_9,3.8335638790966584,0.016183274912754078
Place_Occupée_0,18.19770380130236,0.07682106068537502
Place_Occupée_1,0.03955224511647481,0.0001669686162337737
Place_Occupée_2,0.05509909481763135,0.000232599175858196
Place_Occupée_3,0.06587590510009743,0.00027809315717274247
Place_Occupée_4,0.038133394490804155,0.00016097898088151971
Place_Occupée_5,0.13622147457941142,0.0005750548684371544
Place_Occupée_6,0.9952275066342487,0.004201323063486309
Place_Occupée_7,0.11762644878839774,0.0004965565248914516
Place_Occupée_8,1.4373413202868888,0.006067693264875198
Place_Occupée_9,0.5316709575685932,0.0022444329978107062
Place_Occupée_10,14.171205631210611,0.059823319451009355
Sexe_0,0.023445119084622476,9.897286688701508e-05
Sexe_1,0.013015342349775251,5.4943877283103115e-05
Sexe_2,5.697034399482904,0.024049859812424444
Tranche_d_age_0,0.04989636673924889,0.00021063601535163145
Tranche_d_age_1,0.03201414035078178,0.00013514673310055254
Tranche_d_age_2,0.2671216233149682,0.0011276459194586108
Tranche_d_age_3,0.5164426268473641,0.0021801470565048155
Équipement_Sécurité_1_0,0.30949836398395497,0.0013065380589354415
Équipement_Sécurité_1_1,8.672733097112964,0.03661168259666331
Équipement_Sécurité_1_2,0.5485441319857214,0.0023156625974352675
Équipement_Sécurité_1_3,0.1484134860433193,0.0006265230790846222
Équipement_Sécurité_1_4,0.06749087285749734,0.00028491069511328543
Équipement_Sécurité_1_5,0.6821601221819406,0.002879718491710545
Équipement_Sécurité_1_6,2.774788489992868,0.011713686369791709
Équipement_Sécurité_1_7,2.4393094835486813,0.01029747180810213
Équipement_Sécurité_1_8,0.010909283358147,4.60532124294816e-05
Équipement_Sécurité_1_9,6.469888876075612,0.027312441800545553
